year,daily_volume_liters,annual_volume_liters,retail_price_rub_per_liter,revenue_rub,gross_profit_rub,opex_rub,ebitda_rub,cash_flow_rub,discounted_cash_flow_rub,cumulative_cash_flow_rub,cumulative_discounted_cash_flow_rub
0,,,,0.0,0.0,0,-18000000.0,-18000000.0,-18000000.0,-18000000.0,-18000000.0
1,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,2338983.0508474577,-15240000.0,-15661016.949152542
2,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,1982189.0261419134,-12480000.0,-13678827.923010629
3,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,1679821.2085948419,-9720000.0,-11999006.714415787
4,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,1423577.2954193577,-6960000.0,-10575429.41899643
5,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,1206421.436796066,-4200000.0,-9369007.982200364
6,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,1022391.0481322593,-1440000.0,-8346616.934068104
7,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,866433.0916375079,1320000.0,-7480183.842430596
8,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,734265.3318961932,4080000.0,-6745918.510534403
9,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,622258.7558442316,6840000.0,-6123659.754690171
10,3000.0,1095000.0,69.88,76518600.0,8760000.0,6000000,2760000.0,2760000.0,527337.9286815522,9600000.0,-5596321.826008619
