year,annual_volume_liters,retail_price_rub_per_liter,revenue_rub,gross_profit_rub,opex_rub,ebitda_rub,maintenance_capex_rub,change_in_working_capital_rub,tax_rub,unlevered_free_cash_flow_rub,salvage_value_rub,working_capital_release_rub,discount_factor,discounted_ufcf_rub,cumulative_ufcf_rub,opening_balance_rub,interest_rub,principal_repayment_rub,debt_service_rub,closing_balance_rub,equity_cash_flow_rub,discounted_equity_cf_rub,dscr
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467480.0,0.0,-20367480.0,,,1.0,-20367480.0,-20367480.0,0.0,0.0,0.0,0.0,0.0,-7137480.000000001,-7137480.000000001,
1,1095000.0,69.88,76518600.0,8760000.0,6000000.0,2760000.0,382593.0,0.0,475481.4,1901925.6,0.0,0.0,0.8474576271186441,1611801.3559322036,-18465554.4,13230000.0,2646000.0,1777843.474521609,4423843.474521609,11452156.525478391,-2521917.874521609,-2137218.5377301774,0.6238918749941677
2,1127850.0,74.0728,83543007.48,9564168.0,6360000.0,3204168.0,417715.03740000003,134714.6640000001,557290.5925200001,2094447.7060800001,0.0,0.0,0.7181844297615628,1504199.7314564784,-16371106.693919998,11452156.525478391,2290431.305095678,2133412.169425931,4423843.474521609,9318744.35605246,-2329395.768441609,-1672935.7716472344,0.724295065694316
3,1161685.5,78.51716800000001,91212255.56666401,10442158.6224,6741600.000000001,3700558.6223999998,456061.2778333201,147081.47015520022,648899.4689133359,2448516.4054981433,0.0,0.0,0.6086308726792905,1490242.6766478946,-13922590.288421854,9318744.35605246,1863748.8712104922,2560094.603311117,4423843.474521609,6758649.752741343,-1975327.0690234657,-1202245.0378467771,0.836503064295279
4,1196536.065,83.22819808,99585540.62768374,11400748.78393632,7146096.0,4254652.78393632,497927.7031384187,160583.54911544663,751345.0161595803,2844796.515522875,0.0,0.0,0.5157888751519412,1467314.3947777054,-11077793.77289898,6758649.752741343,1351729.9505482689,3072113.52397334,4423843.474521609,3686536.228768003,-1579046.9589987341,-814454.8547940505,0.9617548198620238
5,1232432.1469500002,88.22188996480001,108727493.25730516,12447337.52230168,7574861.760000002,4872475.762301678,543637.4662865258,175325.11892424664,865767.6592030304,3287745.517887875,0.0,0.0,0.4371092162304586,1437103.8664891722,-7790048.255011104,3686536.228768003,737307.2457536007,3686536.2287680083,4423843.474521609,0.0,-1136097.956633734,-496598.88738519704,1.101412333045663
6,1269405.1113585,93.51520336268801,118708677.13832577,13590003.106848972,8029353.465600002,5560649.64124897,593543.3856916288,191419.96484149084,993421.2511114683,3782265.0396043826,0.0,0.0,0.3704315391783548,1401070.2602011326,-4007783.2154067215,0.0,0.0,0.0,0.0,0.0,3782265.0396043826,1401070.2602011326,
7,1307487.264699255,99.1261155644493,129606133.69962406,14837565.392057708,8511114.673536003,6326450.718521705,648030.6684981203,208992.31761394022,1135684.010004717,4333743.722404927,0.0,0.0,0.3139250332019956,1360470.6419449067,325960.50699820556,0.0,0.0,0.0,0.0,0.0,4333743.722404927,1360470.6419449067,
8,1346711.8826402328,105.07368249831627,141503976.7732496,16199653.895048609,9021781.553948164,7177872.341100445,707519.883866248,228177.81237090053,1294070.4914468396,4948104.153416457,0.0,0.0,0.26603816373050476,1316384.5429221978,5274064.660414662,0.0,0.0,0.0,0.0,0.0,4948104.153416457,1316384.5429221978,
9,1387113.2391194399,111.37810344821526,154494041.8410339,17686782.12261407,9563088.447185054,8123693.675429016,772470.2092051696,249124.5355465482,1470244.6932447695,5631854.23743253,0.0,0.0,0.2254560709580549,1269735.7285800106,10905918.897847192,0.0,0.0,0.0,0.0,0.0,5631854.23743253,1269735.7285800106,
10,1428726.6362930231,118.06078965510817,168676594.88204083,19310428.721470047,10136873.754016157,9173554.96745389,843382.9744102042,271994.16790972184,1666034.3986087372,11427037.027002722,1800000.0,3234893.600477495,0.19106446691360587,2183300.7379663107,22332955.924849913,0.0,0.0,0.0,0.0,0.0,11427037.027002722,2183300.7379663107,
